Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
TEX13B	0	0	0	0	1	3	0	0	0	4	4	4
TEX15	1	0	0	0	3	0	0	0	0	4	4	4
THOC2	0	0	0	0	3	1	0	0	0	4	4	4
TLE2	0	0	0	0	4	0	0	0	0	4	4	4
TPO	0	0	0	0	4	0	0	0	0	4	4	4
TRBV5-4	0	0	0	0	4	0	0	0	0	4	4	4
TRIM48	1	0	0	0	2	0	0	1	0	4	4	4
TRIM77	0	3	0	0	0	0	0	1	0	4	4	4
UBR1	0	0	0	0	4	0	0	0	0	4	4	4
USP4	0	0	0	0	3	0	0	1	0	4	4	4
UVRAG	0	3	0	0	1	0	0	0	0	4	4	4
VWA3A	0	0	0	0	1	0	0	3	0	4	4	4
WDR41	0	0	0	0	1	3	0	0	0	4	4	4
XKR6	0	0	0	0	4	0	0	0	0	4	4	4
ZNF530	0	0	0	0	3	1	0	0	0	4	4	4
ZNF600	1	0	0	0	3	0	0	0	0	4	4	4
